Official Holiday Within Leave Period,العطل الرسمية المتداخله مع فترة الإجازة
Overlapping Days Compensated with Public Holidays,تعويض الأيام المتداخله مع الإجازة الرسمية
Travel Ticket,تذكرة سفر
Return Visa,فيزا عودة
Status Travel Ticket,حالة تذكرة السفر
Status Return Visa,حالة فيزا العودة
Covered by company,مغطاه من الشركة
Reimbursable Expense,نفقه الموظف ويتم تعويضه
Non-Reimbursable Expense,نفقه الموظغ ولايعوض
Last Travel Ticket,آخر تذكرة سفر
last_return_visa,آخر فيزا عودة
Licenses,الرخص
Licenses Type,أنواع الرخص
License English,الرخصه بالإنجليزي
Type English,النوع بالإنجليزي
Type Arabic,النوع بالعربي
Renew,تجديد
Renew before the expiration date,تجديد قبل إنتهاء التاريخ
Raw Material Specification,مواصفات المواد الخامة
Laboratory Test,الإختبار المعملي
Visitor,الزائر
Specification,المواصفات
Physical Attributes,المواصفات الجسدية
Microbiological Analysis,التحليل الميكروبيولوجي
Allergic,الحساسية
Halal,حلال
Certificate of Analysis COA,شهادة تحليل COA
Material Safety Data Sheet MSDS,ورقة بيانات سلامة المواد MSDS
Odor,الرائحة
Flavor,النكهة
Packing,التعبئة
Additional Infomation,معلومات إضافية
Enterobacteriaceae,البكتريا المعوية
